CLIENTNUM,Predicted_Spending
0,2397.4
1,1524.79
2,1554.26
3,1487.87
4,934.63
5,1179.54
6,1361.58
7,1585.83
8,1378.14
9,1484.51
10,1886.88
11,1337.45
12,1275.57
13,1537.04
14,1639.68
15,1324.35
16,1521.58
17,1323.56
18,1406.42
19,1161.71
20,1466.76
21,689.19
22,1015.8
23,1347.77
24,1051.87
25,1091.07
26,1240.89
27,1933.17
28,1062.16
29,1923.2
30,1340.24
31,1481.11
32,1566.92
33,1504.09
34,1300.26
35,1856.24
36,1692.87
37,1173.24
38,1417.13
39,836.43
40,1227.5525
41,1317.62
42,1702.68
43,1767.59
44,1135.09
45,1260.7
46,1422.57
47,1513.38
48,1341.65
49,1433.44
50,1400.97
51,900.55
52,1819.69
53,1462.5
54,655.3
55,1177.71
56,1613.53
57,1453.8
58,1337.26
59,1575.75
60,1309.72
61,858.18
62,1316.63
63,1236.74
64,1269.43
65,1499.53
66,1466.29
67,1250.98
68,1380.01
69,948.75
70,1615.31
71,1677.7
72,1118.54
73,1487.37
74,1354.93
75,1399.73
76,1461.13
77,2573.93
78,1374.23
79,1576.35
80,1854.0
81,1297.88
82,673.72
83,1075.8
84,1310.31
85,1571.23
86,1289.48
87,1893.11
88,1079.16
89,1464.4
90,1206.57
91,1618.66
92,1809.11
93,1492.01
94,1308.98
95,1561.62
96,1653.27
97,1716.3
98,1166.14
99,845.78
100,1254.21
101,1224.16
102,1823.82
103,988.29
104,2048.42
105,1717.96
106,1229.74
107,1369.86
108,2347.85
109,1197.99
110,1320.52
111,1369.83
112,1467.44
113,1375.65
114,1544.41
115,1165.8
116,1913.68
117,1536.55
118,1265.99
119,1750.17
120,959.43
121,1297.37
122,1679.21
123,1847.17
124,1371.93
125,1218.25
126,1424.35
127,886.3
128,1515.44
129,1203.72
130,931.09
131,1272.69
132,1407.11
133,1583.92
134,1534.31
135,1360.12
136,1102.64
137,2280.12
138,1582.91
139,1148.23
140,750.13
141,1028.54
142,1533.14
143,1146.7
144,807.06
145,751.27
146,1638.23
147,1591.91
148,1403.38
149,1915.18
150,1337.54
151,1793.69
152,1285.87
153,1206.14
154,1533.75
155,1279.97
156,1524.96
157,1263.6
158,1129.66
159,1326.04
160,1558.92
161,1262.49
162,1750.97
163,1078.4
164,1497.6
165,1532.86
166,1465.03
167,1272.72
